unique_carrier,carrier_name_era,year_start,year_end,nation_iso2,match_method,flip_type,resolution
PEQ,Prince Edward Air,2004,2010,,unmatched,name_churn_no_nation_assigned,"not applicable — this code carries no assigned nation currently (match_method='unmatched'); listed for completeness only, not tested for cross-border drift."
PEQ,SkyLink Express Inc.,2010,2023,,unmatched,name_churn_no_nation_assigned,"not applicable — this code carries no assigned nation currently (match_method='unmatched'); listed for completeness only, not tested for cross-border drift."
PN,Pan American Airways Corp.,1999,2004,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
PN,Pan American World Airways,1999,1999,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
QK,Air Nova,1991,2000,CA,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('CA') and the mapped nation is held fixed at 'CA'; read as a rebrand, not a nationality flip"
QK,Air Canada Regional,2001,2010,CA,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('CA') and the mapped nation is held fixed at 'CA'; read as a rebrand, not a nationality flip"
QK,Jazz Aviation LP,2011,2025,CA,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('CA') and the mapped nation is held fixed at 'CA'; read as a rebrand, not a nationality flip"
RL,Airline Of The Americas,1992,1993,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
RL,UltrAir,1993,1993,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
RNQ,Airtours International Airways,1993,2002,,unmatched,name_churn_no_nation_assigned,"not applicable — this code carries no assigned nation currently (match_method='unmatched'); listed for completeness only, not tested for cross-border drift."
RNQ,Mytravel Airways,2002,2008,,unmatched,name_churn_no_nation_assigned,"not applicable — this code carries no assigned nation currently (match_method='unmatched'); listed for completeness only, not tested for cross-border drift."
SEB,Seaborne Aviation,2007,2017,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
SEB,"Seaborne Virgin Islands, Inc.",2018,2021,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
SFQ,Sportsflight Airways Inc.,1994,1996,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
SFQ,Pacific International Airlines Inc.,1996,1996,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
SS,Corsair,2010,2012,FR,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('FR') and the mapped nation is held fixed at 'FR'; read as a rebrand, not a nationality flip"
SS,Corsair International,2012,2012,FR,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('FR') and the mapped nation is held fixed at 'FR'; read as a rebrand, not a nationality flip"
SY,Sun Country Airlines,1990,2004,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
SY,Sun Country Airlines d/b/a MN Airlines,2005,2025,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
TB (1),Trump Shuttle,1992,1992,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
TB (1),USAir Shuttle,1992,1995,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
TCQ,Trans Continental Airlines,1994,2000,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
TCQ,Express.Net Airlines,2001,2006,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
TP,Tap-Portuguese Airlines,1990,2024,PT,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('PT') and the mapped nation is held fixed at 'PT'; read as a rebrand, not a nationality flip"
TP,TAP-TAP Air Portugal,2024,2025,PT,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('PT') and the mapped nation is held fixed at 'PT'; read as a rebrand, not a nationality flip"
TRQ,Transwede Airways Ab,1990,1996,NL,icao,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('SE') and the mapped nation is held fixed at 'NL'; read as a rebrand, not a nationality flip"
TRQ,Blue Scandinavia Ab,1996,1997,NL,icao,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('SE') and the mapped nation is held fixed at 'NL'; read as a rebrand, not a nationality flip"
TW,Trans World Airlines Inc.,1990,2001,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
TW,Trans World Airways LLC,2001,2001,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
TX,Air Guadeloupe,1991,1993,,refused_suffix_collision,name_churn_no_nation_assigned,"not applicable — this code carries no assigned nation currently (match_method='refused_suffix_collision'); listed for completeness only, not tested for cross-border drift."
TX,Soc.Nouvelle Air Guadeloupe,1998,2000,,refused_suffix_collision,name_churn_no_nation_assigned,"not applicable — this code carries no assigned nation currently (match_method='refused_suffix_collision'); listed for completeness only, not tested for cross-border drift."
TZ,American Trans Air Inc.,1990,2003,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
TZ,ATA Airlines d/b/a ATA,2003,2008,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
TZQ,Air 2000 Limited,1990,2003,GB,name_exact,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('GB') and the mapped nation is held fixed at 'GB'; read as a rebrand, not a nationality flip"
TZQ,First Choice Airways,2004,2008,GB,name_exact,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('GB') and the mapped nation is held fixed at 'GB'; read as a rebrand, not a nationality flip"
US,USAir,1990,1997,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
US,US Airways Inc.,1997,2015,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
VC,"Charter Air Transport, Inc.",2011,2015,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
VC,Via Airlines d/b/a Charter Air Transport,2015,2016,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
VH (1),Linea Aeropostal Venezolana,1991,1993,,refused_suffix_collision,name_churn_no_nation_assigned,"not applicable — this code carries no assigned nation currently (match_method='refused_suffix_collision'); listed for completeness only, not tested for cross-border drift."
VH (1),Aeropostal Alas De Venezuel,1998,2008,,refused_suffix_collision,name_churn_no_nation_assigned,"not applicable — this code carries no assigned nation currently (match_method='refused_suffix_collision'); listed for completeness only, not tested for cross-border drift."
W8,Winnport Logistics,2000,2001,CA,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('CA') and the mapped nation is held fixed at 'CA'; read as a rebrand, not a nationality flip"
W8,Cargojet Airways Ltd.,2004,2025,CA,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('CA') and the mapped nation is held fixed at 'CA'; read as a rebrand, not a nationality flip"
WE,Challenge Air Cargo Inc.,1990,2001,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
WE,Centurion Cargo Inc.,2002,2016,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
WI,Tradewinds Airlines,1998,2011,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
WI,Sky Lease Cargo,2012,2025,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
WL,Caribbean Sun Airlines,2003,2006,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",2010,2025,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
X7,ACE Belgium Freighters S.A.,2019,2020,,unmatched,name_churn_no_nation_assigned,"not applicable — this code carries no assigned nation currently (match_method='unmatched'); listed for completeness only, not tested for cross-border drift."
X7,Challenge Airlines (BE) S.A.,2020,2025,,unmatched,name_churn_no_nation_assigned,"not applicable — this code carries no assigned nation currently (match_method='unmatched'); listed for completeness only, not tested for cross-border drift."
X9,Omni Air Express,1999,2016,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
X9,Omni Air International LLC,2016,2025,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
XE,Delux Public Charter LLC,2021,2023,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
XE,Delux Public Charters d/b/a JSX,2024,2025,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
XP,Casino Express,1996,2014,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
XP,XTRA Airways,2015,2020,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
XP,TEM Enterprises dba  Avelo Airlines,2022,2025,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
YX,Republic Airlines,2007,2016,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
YX,Republic Airline,2017,2025,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
YX (1),Midwest Express Airlines,1995,2003,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
YX (1),"Midwest Airline, Inc.",2003,2008,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
ZW,Air Wisconsin Inc.,1991,1993,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
ZW,Air Wisconsin Airlines Corp,2000,2024,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
TR,Scoot Tigerair Pte Ltd d/b/a Scoot,2017,2019,,refused_suffix_collision,suffix_collision_refused,"unresolved — reissue-suffix family sharing base code 'TR' would map two or more distinct BTS entities with differing UNIQUE_CARRIER_NAME to the same nation 'SG' under a dateless OpenFlights lookup; refused rather than guessed. Other sibling(s): TR (1) (Transbrasil S.A.). Candidate code reissue across nationalities, needs human review to split by date."
TR (1),Transbrasil S.A.,1990,2001,,refused_suffix_collision,suffix_collision_refused,"unresolved — reissue-suffix family sharing base code 'TR' would map two or more distinct BTS entities with differing UNIQUE_CARRIER_NAME to the same nation 'SG' under a dateless OpenFlights lookup; refused rather than guessed. Other sibling(s): TR (Scoot Tigerair Pte Ltd d/b/a Scoot). Candidate code reissue across nationalities, needs human review to split by date."
TX,Soc.Nouvelle Air Guadeloupe,1991,2000,,refused_suffix_collision,suffix_collision_refused,"unresolved — reissue-suffix family sharing base code 'TX' would map two or more distinct BTS entities with differing UNIQUE_CARRIER_NAME to the same nation 'FR' under a dateless OpenFlights lookup; refused rather than guessed. Other sibling(s): TX (1) (Transportes Aereos Nacional). Candidate code reissue across nationalities, needs human review to split by date."
TX (1),Transportes Aereos Nacional,1990,1991,,refused_suffix_collision,suffix_collision_refused,"unresolved — reissue-suffix family sharing base code 'TX' would map two or more distinct BTS entities with differing UNIQUE_CARRIER_NAME to the same nation 'FR' under a dateless OpenFlights lookup; refused rather than guessed. Other sibling(s): TX (Soc.Nouvelle Air Guadeloupe). Candidate code reissue across nationalities, needs human review to split by date."
LC,Varig Logistica S/A,2005,2008,,refused_suffix_collision,suffix_collision_refused,"unresolved — reissue-suffix family sharing base code 'LC' would map two or more distinct BTS entities with differing UNIQUE_CARRIER_NAME to the same nation 'BR' under a dateless OpenFlights lookup; refused rather than guessed. Other sibling(s): LC (1) (Lineas Aereas Del Caribe). Candidate code reissue across nationalities, needs human review to split by date."
LC (1),Lineas Aereas Del Caribe,1990,1996,,refused_suffix_collision,suffix_collision_refused,"unresolved — reissue-suffix family sharing base code 'LC' would map two or more distinct BTS entities with differing UNIQUE_CARRIER_NAME to the same nation 'BR' under a dateless OpenFlights lookup; refused rather than guessed. Other sibling(s): LC (Varig Logistica S/A). Candidate code reissue across nationalities, needs human review to split by date."
VH,Fast Colombia SAS d/b/a Viva Colombia,2015,2023,,refused_suffix_collision,suffix_collision_refused,"unresolved — reissue-suffix family sharing base code 'VH' would map two or more distinct BTS entities with differing UNIQUE_CARRIER_NAME to the same nation 'FJ' under a dateless OpenFlights lookup; refused rather than guessed. Other sibling(s): VH (1) (Aeropostal Alas De Venezuel). Candidate code reissue across nationalities, needs human review to split by date."
VH (1),Aeropostal Alas De Venezuel,1991,2008,,refused_suffix_collision,suffix_collision_refused,"unresolved — reissue-suffix family sharing base code 'VH' would map two or more distinct BTS entities with differing UNIQUE_CARRIER_NAME to the same nation 'FJ' under a dateless OpenFlights lookup; refused rather than guessed. Other sibling(s): VH (Fast Colombia SAS d/b/a Viva Colombia). Candidate code reissue across nationalities, needs human review to split by date."
2T,BermudAir,2025,2025,,refused_suffix_collision,suffix_collision_refused,"unresolved — reissue-suffix family sharing base code '2T' would map two or more distinct BTS entities with differing UNIQUE_CARRIER_NAME to the same nation 'HT' under a dateless OpenFlights lookup; refused rather than guessed. Other sibling(s): 2T (1) (Canada 3000 Airlines Ltd.). Candidate code reissue across nationalities, needs human review to split by date."
2T (1),Canada 3000 Airlines Ltd.,1990,2001,,refused_suffix_collision,suffix_collision_refused,"unresolved — reissue-suffix family sharing base code '2T' would map two or more distinct BTS entities with differing UNIQUE_CARRIER_NAME to the same nation 'HT' under a dateless OpenFlights lookup; refused rather than guessed. Other sibling(s): 2T (BermudAir). Candidate code reissue across nationalities, needs human review to split by date."
GU,"Aviateca, S.A.",2018,2024,,refused_suffix_collision,suffix_collision_refused,"unresolved — reissue-suffix family sharing base code 'GU' would map two or more distinct BTS entities with differing UNIQUE_CARRIER_NAME to the same nation 'IT' under a dateless OpenFlights lookup; refused rather than guessed. Other sibling(s): GU (1) (Aviateca). Candidate code reissue across nationalities, needs human review to split by date."
GU (1),Aviateca,1990,2000,,refused_suffix_collision,suffix_collision_refused,"unresolved — reissue-suffix family sharing base code 'GU' would map two or more distinct BTS entities with differing UNIQUE_CARRIER_NAME to the same nation 'IT' under a dateless OpenFlights lookup; refused rather than guessed. Other sibling(s): GU (Aviateca, S.A.). Candidate code reissue across nationalities, needs human review to split by date."
4M,LAN Argentina,2006,2020,,refused_suffix_collision,suffix_collision_refused,"unresolved — reissue-suffix family sharing base code '4M' would map two or more distinct BTS entities with differing UNIQUE_CARRIER_NAME to the same nation 'AR' under a dateless OpenFlights lookup; refused rather than guessed. Other sibling(s): 4M (1) (Lan Dominica). Candidate code reissue across nationalities, needs human review to split by date."
4M (1),Lan Dominica,2003,2004,,refused_suffix_collision,suffix_collision_refused,"unresolved — reissue-suffix family sharing base code '4M' would map two or more distinct BTS entities with differing UNIQUE_CARRIER_NAME to the same nation 'AR' under a dateless OpenFlights lookup; refused rather than guessed. Other sibling(s): 4M (LAN Argentina). Candidate code reissue across nationalities, needs human review to split by date."
5G,"Skyservice Airlines, Inc.",2007,2010,,refused_suffix_collision,suffix_collision_refused,"unresolved — reissue-suffix family sharing base code '5G' would map two or more distinct BTS entities with differing UNIQUE_CARRIER_NAME to the same nation 'CA' under a dateless OpenFlights lookup; refused rather than guessed. Other sibling(s): 5G (1) (Queen Air). Candidate code reissue across nationalities, needs human review to split by date."
5G (1),Queen Air,1998,1999,,refused_suffix_collision,suffix_collision_refused,"unresolved — reissue-suffix family sharing base code '5G' would map two or more distinct BTS entities with differing UNIQUE_CARRIER_NAME to the same nation 'CA' under a dateless OpenFlights lookup; refused rather than guessed. Other sibling(s): 5G (Skyservice Airlines, Inc.). Candidate code reissue across nationalities, needs human review to split by date."
MT,Thomas Cook Airlines Uk Ltd.,1990,2019,,refused_suffix_collision,suffix_collision_refused,"unresolved — reissue-suffix family sharing base code 'MT' would map two or more distinct BTS entities with differing UNIQUE_CARRIER_NAME to the same nation 'GB' under a dateless OpenFlights lookup; refused rather than guessed. Other sibling(s): MT (1) (Flying Colours Airlines Ltd.). Candidate code reissue across nationalities, needs human review to split by date."
MT (1),Flying Colours Airlines Ltd.,1997,1997,,refused_suffix_collision,suffix_collision_refused,"unresolved — reissue-suffix family sharing base code 'MT' would map two or more distinct BTS entities with differing UNIQUE_CARRIER_NAME to the same nation 'GB' under a dateless OpenFlights lookup; refused rather than guessed. Other sibling(s): MT (Thomas Cook Airlines Uk Ltd.). Candidate code reissue across nationalities, needs human review to split by date."
SN,Brussels Airlines N.V.,2012,2025,,refused_suffix_collision,suffix_collision_refused,"unresolved — reissue-suffix family sharing base code 'SN' would map two or more distinct BTS entities with differing UNIQUE_CARRIER_NAME to the same nation 'BE' under a dateless OpenFlights lookup; refused rather than guessed. Other sibling(s): SN (1) (Sabena Belgian World Air.). Candidate code reissue across nationalities, needs human review to split by date."
SN (1),Sabena Belgian World Air.,1990,2001,,refused_suffix_collision,suffix_collision_refused,"unresolved — reissue-suffix family sharing base code 'SN' would map two or more distinct BTS entities with differing UNIQUE_CARRIER_NAME to the same nation 'BE' under a dateless OpenFlights lookup; refused rather than guessed. Other sibling(s): SN (Brussels Airlines N.V.). Candidate code reissue across nationalities, needs human review to split by date."
JD,Beijing Capital Airlines,2017,2020,,refused_suffix_collision,suffix_collision_refused,"unresolved — reissue-suffix family sharing base code 'JD' would map two or more distinct BTS entities with differing UNIQUE_CARRIER_NAME to the same nation 'JP' under a dateless OpenFlights lookup; refused rather than guessed. Other sibling(s): JD (1) (Japan Air System Co. Ltd.). Candidate code reissue across nationalities, needs human review to split by date."
JD (1),Japan Air System Co. Ltd.,1990,1997,,refused_suffix_collision,suffix_collision_refused,"unresolved — reissue-suffix family sharing base code 'JD' would map two or more distinct BTS entities with differing UNIQUE_CARRIER_NAME to the same nation 'JP' under a dateless OpenFlights lookup; refused rather than guessed. Other sibling(s): JD (Beijing Capital Airlines). Candidate code reissue across nationalities, needs human review to split by date."
